ds,y,sentiment_avg,sales_volume
2016-09-15,134.97,1.0,3.0
2016-09-16,0.0,3.0,0.0
2016-09-17,0.0,3.0,0.0
2016-09-18,0.0,3.0,0.0
2016-09-19,0.0,3.0,0.0
2016-09-20,0.0,3.0,0.0
2016-09-21,0.0,3.0,0.0
2016-09-22,0.0,3.0,0.0
2016-09-23,0.0,3.0,0.0
2016-09-24,0.0,3.0,0.0
2016-09-25,0.0,3.0,0.0
2016-09-26,0.0,3.0,0.0
2016-09-27,0.0,3.0,0.0
2016-09-28,0.0,3.0,0.0
2016-09-29,0.0,3.0,0.0
2016-09-30,0.0,3.0,0.0
2016-10-01,0.0,3.0,0.0
2016-10-02,0.0,3.0,0.0
2016-10-03,441.98,3.142857142857143,7.0
2016-10-04,8595.89,3.3492063492063493,63.0
2016-10-05,6169.77,3.1875,48.0
2016-10-06,5889.96,2.978723404255319,47.0
2016-10-07,6075.35,2.977272727272727,44.0
2016-10-08,7592.89,3.3902439024390243,41.0
2016-10-09,2399.7,2.8076923076923075,26.0
2016-10-10,3286.26,3.6097560975609757,41.0
2016-10-11,0.0,3.0,0.0
2016-10-12,0.0,3.0,0.0
2016-10-13,0.0,3.0,0.0
2016-10-14,0.0,3.0,0.0
2016-10-15,0.0,3.0,0.0
2016-10-16,0.0,3.0,0.0
2016-10-17,0.0,3.0,0.0
2016-10-18,0.0,3.0,0.0
2016-10-19,0.0,3.0,0.0
2016-10-20,0.0,3.0,0.0
2016-10-21,0.0,3.0,0.0
2016-10-22,0.0,3.0,0.0
2016-10-23,0.0,3.0,0.0
2016-10-24,0.0,3.0,0.0
2016-10-25,0.0,3.0,0.0
2016-10-26,0.0,3.0,0.0
2016-10-27,0.0,3.0,0.0
2016-10-28,0.0,3.0,0.0
2016-10-29,0.0,3.0,0.0
2016-10-30,0.0,3.0,0.0
2016-10-31,0.0,3.0,0.0
2016-11-01,0.0,3.0,0.0
2016-11-02,0.0,3.0,0.0
2016-11-03,0.0,3.0,0.0
2016-11-04,0.0,3.0,0.0
2016-11-05,0.0,3.0,0.0
2016-11-06,0.0,3.0,0.0
2016-11-07,0.0,3.0,0.0
2016-11-08,0.0,3.0,0.0
2016-11-09,0.0,3.0,0.0
2016-11-10,0.0,3.0,0.0
2016-11-11,0.0,3.0,0.0
2016-11-12,0.0,3.0,0.0
2016-11-13,0.0,3.0,0.0
2016-11-14,0.0,3.0,0.0
2016-11-15,0.0,3.0,0.0
2016-11-16,0.0,3.0,0.0
2016-11-17,0.0,3.0,0.0
2016-11-18,0.0,3.0,0.0
2016-11-19,0.0,3.0,0.0
2016-11-20,0.0,3.0,0.0
2016-11-21,0.0,3.0,0.0
2016-11-22,0.0,3.0,0.0
2016-11-23,0.0,3.0,0.0
2016-11-24,0.0,3.0,0.0
2016-11-25,0.0,3.0,0.0
2016-11-26,0.0,3.0,0.0
2016-11-27,0.0,3.0,0.0
2016-11-28,0.0,3.0,0.0
2016-11-29,0.0,3.0,0.0
2016-11-30,0.0,3.0,0.0
2016-12-01,0.0,3.0,0.0
2016-12-02,0.0,3.0,0.0
2016-12-03,0.0,3.0,0.0
2016-12-04,0.0,3.0,0.0
2016-12-05,0.0,3.0,0.0
2016-12-06,0.0,3.0,0.0
2016-12-07,0.0,3.0,0.0
2016-12-08,0.0,3.0,0.0
2016-12-09,0.0,3.0,0.0
2016-12-10,0.0,3.0,0.0
2016-12-11,0.0,3.0,0.0
2016-12-12,0.0,3.0,0.0
2016-12-13,0.0,3.0,0.0
